taxon_key_gbif_id,superfamily_name,family_name,subfamily_name,genus_name,name,search_species_name,gbif_species_name,confidence,status,match type,source,iNaturalist count
1856899,Tineoidea,Dryadaulidae,[Dryadaulinae],Dryadaula,visaliella,Dryadaula visaliella,Dryadaula visaliella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,3
1856130,Tineoidea,Tineidae,Myrmecozelinae,Haplotinea,insectella,Haplotinea insectella,Haplotinea insectella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,2
1854920,Tineoidea,Tineidae,Acrolophinae,Amydria,effrentella,Amydria effrentella,Amydria effrentella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,71
9015218,Tineoidea,Tineidae,Acrolophinae,Acrolophus,plumifrontella,Acrolophus plumifrontella,Acrolophus plumifrontella,99,ACCEPTED,EXACT,Quebec_Pohl2018,361
5122668,Tineoidea,Tineidae,Acrolophinae,Acrolophus,morus,Acrolophus morus,Acrolophus mora,96,ACCEPTED,FUZZY,Quebec_Pohl2018 Vermont_29March2021,155
1856695,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,acapnopennella,Nemapogon acapnopennella,Nemapogon acapnopennella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1856657,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,auropulvella,Nemapogon auropulvella,Nemapogon auropulvella,99,ACCEPTED,EXACT,Quebec_Pohl2018,7
1856674,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,geniculatella,Nemapogon geniculatella,Nemapogon geniculatella,99,ACCEPTED,EXACT,Quebec_Pohl2018,1
1856701,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,granella,Nemapogon granella,Nemapogon granella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,6
1856678,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,molybdanella,Nemapogon molybdanella,Nemapogon molybdanella,99,ACCEPTED,EXACT,Quebec_Pohl2018,1
