,Species Key,Taxon Key,GBIF Species Name,Source
1054,1739656,1739656,Sparganothis tristriata,Quebec_Pohl2018
1055,1739612,1739612,Sparganothis unifasciana,Quebec_Pohl2018
1056,1739662,1739662,Sparganothis violaceana,Quebec_Pohl2018
1057,1739646,1739646,Sparganothis xanthoides,Quebec_Pohl2018
1058,10596756,10596756,Sparganothis boweri,Quebec_Pohl2018
1059,1739612,1739676,Sparganothis unifasciana,Quebec_Pohl2018
1060,1739626,1739626,Sparganothis umbrana,Quebec_Pohl2018
1061,1747196,1747196,Cenopis pettitana,Quebec_Pohl2018
1062,NA,NA,NA,Quebec_Pohl2018
1063,9896144,9896144,Cenopis reticulatana,Quebec_Pohl2018
1064,10046698,10046698,Cenopis diluticostana,Quebec_Pohl2018
1065,10442122,10442122,Cenopis directana,Quebec_Pohl2018
1066,NA,NA,NA,Quebec_Pohl2018
1067,1741824,1741824,Platynota idaeusalis,Quebec_Pohl2018
1068,1741812,1741812,Platynota exasperatana,Quebec_Pohl2018
1069,1741818,1741818,Platynota semiustana,Quebec_Pohl2018
1070,1741823,1741823,Platynota flavedana,Quebec_Pohl2018
1071,1741778,10170757,Endothenia montanana,Quebec_Pohl2018
1072,1741749,1741749,Endothenia affiliana,Quebec_Pohl2018
1073,1741747,1741747,Endothenia hebesana,Quebec_Pohl2018
1074,1741766,1741766,Endothenia infuscata,Quebec_Pohl2018
1075,1741719,1741719,Endothenia nubilana,Quebec_Pohl2018
1076,1741752,1741752,Endothenia quadrimaculana,Quebec_Pohl2018
1077,10002059,10002059,Taniva albolineana,Quebec_Pohl2018
1078,9911298,9911298,Hulda impudens,Quebec_Pohl2018
1079,4530138,4530138,Bactra lancealana,Quebec_Pohl2018
1080,1747738,1747738,Bactra furfurana,Quebec_Pohl2018
1081,1747740,1747740,Bactra verutana,Quebec_Pohl2018
1082,1747817,1747817,Bactra maiorina,Quebec_Pohl2018
1083,1747752,1747752,Bactra priapeia,Quebec_Pohl2018
1084,1747771,1747771,Bactra sinistra,Quebec_Pohl2018
1085,1741400,1741400,Episimus argutana,Quebec_Pohl2018
1086,1746586,1746586,Paralobesia viteana,Quebec_Pohl2018
1087,1746583,1746583,Paralobesia monotropana,Quebec_Pohl2018
1088,1746581,1746581,Paralobesia cypripediana,Quebec_Pohl2018
1089,1746571,1746571,Paralobesia yaracana,Quebec_Pohl2018
1090,NA,NA,NA,Quebec_Pohl2018
1091,1746574,1746574,Paralobesia palliolana,Quebec_Pohl2018
1092,1746584,1746584,Paralobesia piceana,Quebec_Pohl2018
1093,1746576,10514244,Paralobesia spiraeifoliana,Quebec_Pohl2018
1094,1746572,1746572,Paralobesia blandula,Quebec_Pohl2018
1095,1740533,1740533,Lobesia bicinctana,Quebec_Pohl2018
1096,1740971,1740971,Ahmosia galbinea,Quebec_Pohl2018
1097,1740972,1740972,Ahmosia aspasiana,Quebec_Pohl2018
1098,1745038,1745038,Aterpia approximana,Quebec_Pohl2018
1099,1743461,1743461,Eumarozia malachitana,Quebec_Pohl2018
1100,1746695,1746695,Zomaria interruptolineana,Quebec_Pohl2018
1101,1744695,1744695,Apotomis funerea,Quebec_Pohl2018
1102,1744724,1744724,Apotomis albeolana,Quebec_Pohl2018
1103,1744700,1744700,Apotomis removana,Quebec_Pohl2018
1104,NA,NA,NA,Quebec_Pohl2018
1105,1744734,1744734,Apotomis tertiana,Quebec_Pohl2018
1106,1744735,1744735,Apotomis afficticia,Quebec_Pohl2018
1107,1744705,9994286,Apotomis bifida,Quebec_Pohl2018
1108,1744731,1744731,Apotomis capreana,Quebec_Pohl2018
1109,1744736,1744736,Apotomis deceptana,Quebec_Pohl2018
1110,1744722,1744722,Apotomis paludicolana,Quebec_Pohl2018
1111,1744729,1744729,Apotomis frigidana,Quebec_Pohl2018
1112,NA,NA,NA,Quebec_Pohl2018
1113,1744709,1744709,Apotomis infida,Quebec_Pohl2018
1114,1738218,1738218,Pseudosciaphila duplex,Quebec_Pohl2018
1115,1744136,1744136,Orthotaenia undulana,Quebec_Pohl2018
1116,1742171,1742171,Olethreutes nitidana,Quebec_Pohl2018
1117,1742150,1742150,Olethreutes furfuranum,Quebec_Pohl2018
1118,1742238,1742238,Olethreutes comandranum,Quebec_Pohl2018
1119,1742288,1742288,Olethreutes olivaceana,Quebec_Pohl2018
1120,1742196,1742196,Olethreutes fraternanum,Quebec_Pohl2018
