accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1753688,Lepidoptera,Limacodidae,Natada,Natada incandescens,Natada incandescens,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
10020529,Lepidoptera,Limacodidae,Parasa,Parasa sandrae,Parasa sandrae,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
8506869,Mantodea,Mantidae,Pseudovates,Phyllovates chlorophaea,Pseudovates chlorophaea,99,SYNONYM,EXACT,SPECIES,panama_11Jan2023
5105217,Lepidoptera,Megalopygidae,Podalia,Podalia orsilocha,Podalia orsilochus,97,ACCEPTED,FUZZY,SPECIES,panama_11Jan2023
5105217,Lepidoptera,Megalopygidae,Podalia,Podalia orsilochus,Podalia orsilochus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1952915,Lepidoptera,Mimallonidae,Aleyda,Aleyda accipiter,Aleyda accipiter,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1953166,Lepidoptera,Mimallonidae,Alheita,Alheita caudina,Alheita caudina,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1953160,Lepidoptera,Mimallonidae,Alheita,Alheita rionica,Alheita rionica,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5143166,Lepidoptera,Mimallonidae,Pamea,Pamea perostia,Pamea perostia,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1784757,Lepidoptera,Erebidae,Ocalaria,Ocalaria cohabita,Ocalaria cohabita,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Spodoptera androgena,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
5108951,Lepidoptera,Erebidae,Diphthera,Diphthera festiva,Diphthera festiva,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1826899,Lepidoptera,Notodontidae,Bardaxima,Bardaxima perses,Bardaxima perses,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1825133,Lepidoptera,Notodontidae,Cerura,Cerura rarata,Cerura rarata,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1825034,Lepidoptera,Notodontidae,Lirimiris,Lirimiris meridionalis,Lirimiris meridionalis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1826118,Lepidoptera,Notodontidae,Lysana,Lysana plusiana,Lysana plusiana,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
9292596,Lepidoptera,Notodontidae,Scotura,Scotura annulata,Scotura annulata,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
