accepted_taxon_key,search_species,gbif_species,status,match_type,rank,confidence,genus,family,order,source
5141493,Sesia apiformis,Sesia apiformis,ACCEPTED,EXACT,SPECIES,99,Sesia,Sesiidae,Lepidoptera,uksi_09May2022
5141501,Sesia bembeciformis,Sesia bembeciformis,ACCEPTED,EXACT,SPECIES,99,Sesia,Sesiidae,Lepidoptera,uksi_09May2022
5142870,Thyatira batis,Thyatira batis,ACCEPTED,EXACT,SPECIES,99,Thyatira,Drepanidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5142971,Tethea or,Tethea or,ACCEPTED,EXACT,SPECIES,99,Tethea,Drepanidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143048,Tethea ocularis,Tethea ocularis,ACCEPTED,EXACT,SPECIES,99,Tethea,Drepanidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143129,Drepana falcataria,Drepana falcataria,ACCEPTED,EXACT,SPECIES,99,Drepana,Drepanidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143147,Drepana curvatula,Drepana curvatula,ACCEPTED,EXACT,SPECIES,99,Drepana,Drepanidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143380,Alcis repandata,Alcis repandata,ACCEPTED,EXACT,SPECIES,99,Alcis,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143477,Alcis jubata,Alcis jubata,ACCEPTED,EXACT,SPECIES,99,Alcis,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143651,Hylaea fasciaria,Hylaea fasciaria,ACCEPTED,EXACT,SPECIES,99,Hylaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143675,Cabera exanthemata,Cabera exanthemata,ACCEPTED,EXACT,SPECIES,99,Cabera,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143697,Cabera pusaria,Cabera pusaria,ACCEPTED,EXACT,SPECIES,99,Cabera,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5143947,Alsophila aescularia,Alsophila aescularia,ACCEPTED,EXACT,SPECIES,99,Alsophila,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144190,Mesoleuca albicillata,Mesoleuca albicillata,ACCEPTED,EXACT,SPECIES,99,Mesoleuca,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144426,Lobophora halterata,Lobophora halterata,ACCEPTED,EXACT,SPECIES,99,Lobophora,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144534,Geometra papilionaria,Geometra papilionaria,ACCEPTED,EXACT,SPECIES,99,Geometra,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144543,Siona lineata,Siona lineata,ACCEPTED,EXACT,SPECIES,99,Siona,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144677,Scopula nigropunctata,Scopula nigropunctata,ACCEPTED,EXACT,SPECIES,98,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144721,Scopula incanata L.,Scopula incanata,ACCEPTED,EXACT,SPECIES,98,Scopula,Geometridae,Lepidoptera,denmark_Dec2022
5144782,Scopula decorata,Scopula decorata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144805,Scopula ornata,Scopula ornata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5144900,Scopula marginepunctata,Scopula marginepunctata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145009,Scopula immutata,Scopula immutata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145083,Scopula corrivalaria Kretsch.,Scopula corrivalaria,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,denmark_Dec2022
5145136,Scopula ternata,Scopula ternata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145186,Scopula rubiginata,Scopula rubiginata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145260,Scopula immorata,Scopula immorata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145269,Scopula virgulata,Scopula virgulata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145409,Scopula floslactata,Scopula floslactata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145521,Scopula limboundata,Scopula limboundata,ACCEPTED,EXACT,SPECIES,99,Scopula,Geometridae,Lepidoptera,uksi_09May2022
5145870,Gagitodes sagittata,Perizoma sagittata,SYNONYM,EXACT,SPECIES,99,Perizoma,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5145965,Martania taeniata,Perizoma taeniata,SYNONYM,EXACT,SPECIES,99,Perizoma,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146342,Hydrelia sylvata,Hydrelia sylvata,ACCEPTED,EXACT,SPECIES,99,Hydrelia,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146379,Hydrelia flammeolaria,Hydrelia flammeolaria,ACCEPTED,EXACT,SPECIES,99,Hydrelia,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146412,Plemyria rubiginata,Plemyria rubiginata,ACCEPTED,EXACT,SPECIES,99,Plemyria,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146496,Idaea sylvestraria,Idaea sylvestraria,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146510,Idaea laevigata,Idaea laevigata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022
5146559,Idaea aversata,Idaea aversata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146611,Idaea humiliata,Idaea humiliata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146659,Idaea serpentata,Idaea serpentata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146677,Idaea dimidiata,Idaea dimidiata,ACCEPTED,EXACT,SPECIES,98,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146837,Idaea subsericeata,Idaea subsericeata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5146862,Idaea dilutaria,Idaea dilutaria,ACCEPTED,EXACT,SPECIES,98,Idaea,Geometridae,Lepidoptera,uksi_09May2022
5146883,Idaea pallidata D.& S.,Idaea pallidata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,denmark_Dec2022
5146946,Idaea deversaria HS.,Idaea maritimaria,SYNONYM,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,denmark_Dec2022
5146961,Idaea biselata,Idaea biselata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147039,Idaea seriata,Idaea seriata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147062,Idaea muricata,Idaea muricata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147150,Idaea inquinata,Idaea inquinata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022
5147193,Idaea fuscovenosa,Idaea fuscovenosa,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147208,Idaea straminata,Idaea straminata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147232,Idaea trigeminata,Idaea trigeminata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022
5147245,Idaea emarginata,Idaea emarginata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147354,Idaea ochrata,Idaea ochrata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147441,Idaea degeneraria,Idaea degeneraria,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022
5147478,Idaea rusticata,Idaea rusticata,ACCEPTED,EXACT,SPECIES,99,Idaea,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147608,Trichopteryx carpinata,Trichopteryx carpinata,ACCEPTED,EXACT,SPECIES,99,Trichopteryx,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147638,Trichopteryx polycommata,Trichopteryx polycommata,ACCEPTED,EXACT,SPECIES,99,Trichopteryx,Geometridae,Lepidoptera,uksi_09May2022
5147681,Lycia hirtaria,Lycia hirtaria,ACCEPTED,EXACT,SPECIES,99,Lycia,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147827,Venusia cambrica,Venusia cambrica,ACCEPTED,EXACT,SPECIES,99,Venusia,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5147834,Venusia blomeri,Venusia blomeri,ACCEPTED,EXACT,SPECIES,99,Venusia,Geometridae,Lepidoptera,uksi_09May2022
5148247,Theria rupicapraria D.& S.,Theria rupicapraria,ACCEPTED,EXACT,SPECIES,99,Theria,Geometridae,Lepidoptera,denmark_Dec2022
5148248,Theria primaria,Theria primaria,ACCEPTED,EXACT,SPECIES,99,Theria,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5148286,Pelurga comitata,Pelurga comitata,ACCEPTED,EXACT,SPECIES,99,Pelurga,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5148394,Thera vetustata,Thera vetustata,ACCEPTED,EXACT,SPECIES,99,Thera,Geometridae,Lepidoptera,uksi_09May2022
5148424,Thera britannica,Thera britannica,ACCEPTED,EXACT,SPECIES,99,Thera,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
5148436,Thera variata D.& S.,Thera variata,ACCEPTED,EXACT,SPECIES,98,Thera,Geometridae,Lepidoptera,denmark_Dec2022
5148462,Thera juniperata,Thera juniperata,ACCEPTED,EXACT,SPECIES,99,Thera,Geometridae,Lepidoptera,uksi_09May2022 denmark_Dec2022
