accepted_taxon_key,order,family,genus,search_species,gbif_species,confidence,status,match_type,rank,source
8876855,Lepidoptera,Crambidae,Niphograpta,Niphograpta albiguttalis,Niphograpta albiguttalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
11810311,Lepidoptera,Erebidae,Nevrolongus,Nevrolongus thysbodes,Nevrolongus thysbodes,99,ACCEPTED,EXACT,SPECIES,panama-bci
1889984,Lepidoptera,Pyralidae,Neurophyseta,Neurophyseta mellograpta,Neurophyseta mellograpta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1827713,Lepidoptera,Notodontidae,Nesebroides,Nesebroides mineti,Nesebroides mineti,99,ACCEPTED,EXACT,SPECIES,panama-bci
1809412,Lepidoptera,Erebidae,Nephelosia,Nephelosia caecina,Nephelosia caecina,99,ACCEPTED,EXACT,SPECIES,panama-bci
11462514,Lepidoptera,Geometridae,Nepheloleuca,Nepheloleuca illiturata,Nepheloleuca politia,99,SYNONYM,EXACT,SPECIES,panama-bci
1805478,Lepidoptera,Erebidae,Neonerita,Neonerita dorsipuncta,Neonerita dorsipuncta,99,ACCEPTED,EXACT,SPECIES,panama-bci
5125059,Lepidoptera,Saturniidae,Neodiphthera,Neodiphthera foucheri,Neodiphthera foucheri,99,ACCEPTED,EXACT,SPECIES,panama-bci
1863412,Lepidoptera,Sphingidae,Neococytius,Neococytius cluentius,Neococytius cluentius,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981288,Lepidoptera,Geometridae,Nemoria,Nemoria carolinae,Nemoria carolinae,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981283,Lepidoptera,Geometridae,Nemoria,Nemoria adjunctaria,Nemoria adjunctaria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981238,Lepidoptera,Geometridae,Nemoria,Nemoria aturia,Nemoria aturia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981226,Lepidoptera,Geometridae,Nemoria,Nemoria agenoria,Nemoria agenoria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981219,Lepidoptera,Geometridae,Nemoria,Nemoria sigillaria,Nemoria sigillaria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981183,Lepidoptera,Geometridae,Nemoria,Nemoria parcipuncta,Nemoria parcipuncta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1981147,Lepidoptera,Geometridae,Nemoria,Nemoria scriptaria,Nemoria scriptaria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1991016,Lepidoptera,Geometridae,Nematocampa,Nematocampa completa,Nematocampa completa,99,ACCEPTED,EXACT,SPECIES,panama-bci
