sort,Superfam_#,subfam_#,Superfamily,Family,Subfamily,Current_valid_binomen,Author_yr,BCI_BIN,Source_Basset,Source_BOLD,Source_iNat,Source_CanalZone,Source_Literature,Timeframe_Jan2023,Timeframe_Nov2023,Timeframe_Historic
3208,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Casandria flotsama,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3209,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena filifera,"(Walker, 1857)",n.a.,,,1,,,1,,
3210,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena fugax,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3211,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena illegitima,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3212,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena interstitia,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3213,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena metaphaea,"(Hampson, 1912)",n.a.,,,,OD_Hampson,,,,1
3214,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena murora,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3215,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Collomena siopera,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3216,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Motya griselda,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3217,93,93,NOCTUOIDEA,Nolidae,Collomeninae,Motya mythias,"(Schaus, 1921)",n.a.,,,1,,,1,,
3219,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Condica imitata,,,,,1,,,1,1,
3220,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Hemicephalis agenoria,,,,,1,,,1,,
3221,93,93,Noctuoidea,Noctuidae,Condicinae,Perigea agnonia,,,,,1,,,1,,
3222,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Condica mimica,"(Hampson, 1908)",n.a.,,,1,,,1,,
3223,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Hemicephalis alesa,"(Druce, 1890)",BOLD:AAB4206,,1,,,,1,,
3224,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Hemicephalis grandirena,"Schaus, 1915",n.a.,,,1,,,1,,
3226,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Micrathetis dasarada,"(Druce, 1898)",n.a.,,,1,,,1,1,
3227,93,93,NOCTUOIDEA,Noctuidae,Condicinae,Micrathetis tecnion,"Dyar, 1914",BOLD:AAB3442,,1,,OD_Dyar,,,1,1
3230,93,93,NOCTUOIDEA,Notodontidae,Dicranurinae,Truncaptera meridionalis,,,,,1,,,,1,
3231,93,93,NOCTUOIDEA,Notodontidae,Dicranurinae,Lirimiris lignitecta,"Walker, 1865",unassigned,,1,1,,,1,1,
3232,93,93,NOCTUOIDEA,Notodontidae,Dicranurinae,Truncaptera guatemalensis,"(Rothschild, 1917)",BOLD:AAA5137,,1,,,,,1,
3233,93,93,NOCTUOIDEA,Notodontidae,Dicranurinae,Truncaptera truncata,"(Herrich-Schäffer, 1856)",n.a.,,,,,Forbes,,,1
3234,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Actea psudena,,,,,,,,,,
3235,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Ephialtias dorsipilota,,,,,,,,,,
3236,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Getta baetifica,"(Druce, 1898)",BOLD:AAM0458,,1,,,Forbes,,,1
3237,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Josia draconis,"(Druce, 1885)",BOLD:AAM6728,,1,,,,,,
3238,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Josia ligula,"(Hübner, 1805)",n.a.,,,,Forbes,,,,1
3239,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Lyces cruciata,"(Butler, 1875)",BOLD:AAN2110,,1,,,,,,
3241,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Phaeochlaena gyon,"(Fabricius, 1787)",n.a.,,,,Forbes,,,,1
3242,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Phaeochlaena tendinosa,"Hübner, 1818",n.a.,,,,Forbes,,,,1
3243,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Proutiella ilaire,"(Druce, 1885)",BOLD:ADO6279,,1,,,,,,
3244,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Scotura annulata,"(Guérin-Méneville, 1844)",BOLD:AAC4115,,1,,,,,,
3245,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Scotura fulviceps ,"(Felder, 1868)",n.a.,,,,Forbes,,,,1
3246,93,93,NOCTUOIDEA,Notodontidae,Dioptinae,Scotura leucophleps,"Warren, 1909",BOLD:AAM3386,,1,,,,1,1,
3248,93,93,NOCTUOIDEA,Nolidae,Diphtherinae,Diphthera festiva,"Fabricius, 1775",BOLD:AAA3373,,1,,,,,,
3249,93,93,NOCTUOIDEA,Notodontidae,Dudusinae,Crinodes besckei,"(Hubner, 1821)",BOLD:AEC2502,,1,,,Forbes,,,1
3250,93,93,NOCTUOIDEA,Notodontidae,Dudusinae,Crinodes ritsemae,"Butler, 1878",n.a.,,,,,Forbes,,,1
3251,93,93,NOCTUOIDEA,Notodontidae,Dudusinae,Crinodes schausi,"Rothschild, 1917",BOLD:AAM3581,,1,,,Forbes,,,1
3252,93,93,NOCTUOIDEA,Notodontidae,Dudusinae,Crinodes striolata,"Schaus, 1901",n.a.,,,,,Forbes,,,1
3253,93,93,NOCTUOIDEA,Noctuidae,Dyopsinae,Dyops subdifferens,,,,,1,,,,1,
3254,93,93,NOCTUOIDEA,Noctuidae,Dyopsinae,Ceroctena amynta,"(Stoll, 1782)",BOLD:AAB6949,,1,,,,1,,
3255,93,93,NOCTUOIDEA,Noctuidae,Dyopsinae,Desmoloma chironomus,"Dyar, 1910",n.a.,,1,,,Forbes,,,1
3256,93,93,NOCTUOIDEA,Noctuidae,Dyopsinae,Dyops telharsa,"Schaus, 1911",BOLD:AAG6074,,1,,,,,1,
3257,93,93,NOCTUOIDEA,Noctuidae,Dyopsinae,Sosxetra grata,"Walker, 1862",BOLD:ADP8146,,1,,,,1,1,
3261,93,93,NOCTUOIDEA,Nolidae,Eligminae,Iscadia furcifera,"Walker, 1869",BOLD:AAB3432,,1,,,,,,
3262,93,93,NOCTUOIDEA,Nolidae,Eligminae,Iscadia purpurascens,"(Schaus, 1910)",BOLD:AAA8452,,1,,,,1,1,
3271,93,93,NOCTUOIDEA,Erebidae,Erebinae,Agyra agola,"Druce, 1890",BOLD:AAB0059,,1,,,,,1,
3273,93,93,NOCTUOIDEA,Erebidae,Erebinae,Clapra asthenoides,"Möschler, 1880",BOLD:AAM6704,,1,,,,,1,
3275,93,93,NOCTUOIDEA,Erebidae,Erebinae,Coenipeta glaucinans,,,,,,,,,,
3279,93,93,NOCTUOIDEA,Erebidae,Erebinae,Ramphia albizona,"Latreille, 1817",BOLD:ABY9281,,1,,,,,1,
3282,93,93,NOCTUOIDEA,Erebidae,Erebinae,Celiptera helvina,,,,,,,,,,
3283,93,93,NOCTUOIDEA,Erebidae,Erebinae,Celiptera levina,"(Stoll, 1782)",unassigned,,1,1,,,1,1,
3285,93,93,NOCTUOIDEA,Erebidae,Erebinae,Mocis disseverans,"Walker, 1858",n.a.,,,1,,,1,,
3286,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis perplexa,,,,,1,,,1,,
3290,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis sublignaris,,,,,1,,,,1,
3291,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis diascia,"Hampson, 1926",n.a.,,,,OD_Hampson,,,,1
3293,93,93,NOCTUOIDEA,Erebidae,Erebinae,Melipotis fasciolaris,"(Hübner, [1831] 1825)",BOLD:AAP3309,,1,,,,,,
3294,93,93,NOCTUOIDEA,Erebidae,Erebinae,Melipotis perpendicularis,"(Guenée, 1852)",BOLD:AAY4876,,1,,,,,,
3295,93,93,NOCTUOIDEA,Erebidae,Erebinae,Coenipeta diffusa,,,,,1,,,,1,
3299,93,93,NOCTUOIDEA,Erebidae,Erebinae,Amolita pepita,"Dyar, 1914",BOLD:AAM8752,,1,,OD_Dyar,,,,1
3300,93,93,NOCTUOIDEA,Erebidae,Erebinae,Coenipeta damonia,"(Stoll, 1782)",BOLD:AAF3900,,1,,,,,1,
3301,93,93,NOCTUOIDEA,Erebidae,Erebinae,Coenipeta medina,"Guenée, 1852",BOLD:AAA3282,,1,,,,,,
3302,93,93,NOCTUOIDEA,Erebidae,Erebinae,Coenipeta nubila,"Schaus, 1901",BOLD:AAF3999,,1,,,,,,
3305,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis centurialis,"Hübner, 1823",BOLD:AAK4028,,1,,,,,1,
3306,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis guerini,"(Guenée, 1852)",BOLD:AAA9512,,1,,,,1,1,
3307,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis intacta,"Felder, 1874",BOLD:AAX8057,,1,,,,,,
3308,93,93,NOCTUOIDEA,Erebidae,Erebinae,Euclystis labecia,"(Druce, 1890)",BOLD:AAC3505,,1,,,,,,
3309,93,93,Noctuoidea,Erebidae,Erebinae,Helia exsiccata,,,,,1,,,,1,
3310,93,93,NOCTUOIDEA,Erebidae,Erebinae,Zale excellens,"(Schaus, 1912)",BOLD:ACV1927,,1,,,,,,
3316,93,93,NOCTUOIDEA,Erebidae,Erebinae,Metria guapila,"(Schaus, 1912)",n.a.,,,1,,,1,,
3317,93,93,NOCTUOIDEA,Erebidae,Erebinae,Metria pascuala,"(Schaus, 1901)",n.a.,,,1,,,1,,
3318,93,93,NOCTUOIDEA,Erebidae,Erebinae,Neophisma tropicalis,"Guenée, 1852",BOLD:AAA4625,,1,,,,,1,
3319,93,93,NOCTUOIDEA,Erebidae,Erebinae,Ophisma despagnesi,"Guenée, 1852",BOLD:AAU1676,,1,,,,,1,
3321,93,93,NOCTUOIDEA,Erebidae,Erebinae,Selenisa lanipes,"(Guenée, 1852)",unassigned,,1,,,,1,,
3322,93,93,NOCTUOIDEA,Erebidae,Erebinae,Selenisa sueroides,"(Guenée, 1852)",unassigned,,1,1,,,1,1,
3323,93,93,NOCTUOIDEA,Erebidae,Erebinae,Tyrissa perstrigata,"Schaus, 1911",BOLD:AAL8994,,1,,,,1,1,
3325,93,93,NOCTUOIDEA,Erebidae,Erebinae,Athyrma brigittae,,,,,1,,,,1,
3326,93,93,NOCTUOIDEA,Erebidae,Erebinae,Athyrma cryani,,,,,1,,,1,1,
3327,93,93,NOCTUOIDEA,Erebidae,Erebinae,Athyrma dormitrix,,,,,1,,,,1,
3328,93,93,NOCTUOIDEA,Erebidae,Erebinae,Athyrma adjutrix,"Cramer, 1780",BOLD:ABX5179,,1,,,,,1,
3329,93,93,NOCTUOIDEA,Erebidae,Erebinae,Athyrma tuberosa,"Felder and Rogenhofer, 1874",BOLD:AAD6990,,1,,,,,1,
3330,93,93,Noctuoidea,Erebidae,Erebinae,Dysgonia expediens,,,,,1,,,,1,
3331,93,93,Noctuoidea,Erebidae,Erebinae,Dysgonia purpurata,,,,,1,,,,1,
3332,93,93,Noctuoidea,Erebidae,Erebinae,Mimophisma delunaris,,,,,1,,,,1,
3333,93,93,NOCTUOIDEA,Erebidae,Erebinae,Feigeria scops,,,,,1,,,,1,
3338,93,93,NOCTUOIDEA,Erebidae,Erebinae,Ascalapha odorata,"(Linnaeus, 1758)",n.a.,,,1,,,1,1,
3339,93,93,NOCTUOIDEA,Erebidae,Erebinae,Feigeria magna,"(Gmelin, 1790)",n.a.,,,1,,,1,,
3340,93,93,NOCTUOIDEA,Erebidae,Erebinae,Hemeroblemma acron,"(Cramer, 1779)",n.a.,,,1,,,1,,
3341,93,93,NOCTUOIDEA,Erebidae,Erebinae,Hemeroblemma ochrolinea,"Guenée, 1852",BOLD:AAC1549,,1,,,,,1,
3343,93,93,Noctuoidea,Erebidae,Erebinae,Ronania marmorides,,,,,1,,,,1,
3344,93,93,NOCTUOIDEA,Erebidae,Erebinae,Thysania winbrechlini,"Brechlin & van Schayck, 2016",BOLD:ACV2784,,1,,,,,,
3345,93,93,NOCTUOIDEA,Erebidae,Erebinae,Pseudyrias lineata,,,,,1,,,,1,
3349,93,93,NOCTUOIDEA,Erebidae,Erebinae,Pseudyrias farranti,"Schaus, 1933",n.a.,,,,OD_Schaus,,,,1
3351,93,93,NOCTUOIDEA,Erebidae,Erebinae,Achaeops esperanza,"(Schaus, 1911)",n.a.,,,1,,,1,,
3352,93,93,NOCTUOIDEA,Erebidae,Erebinae,Ceromacra erebusalis,"(Walker, [1859] 1858)",n.a.,,,1,,,1,,
3353,93,93,NOCTUOIDEA,Erebidae,Erebinae,Ceromacra putida,"Dognin, 1912",BOLD:AAB6450,,1,,,,1,1,
3354,93,93,Noctuoidea,Erebidae,Erebinae,Cyclopteryx niveinotata,,,,,1,,,,1,
3355,93,93,NOCTUOIDEA,Erebidae,Erebinae,Dialithis gemmifera,"Hübner, [1821] 1816",BOLD:AAD4485,,1,,,,1,1,
3356,93,93,NOCTUOIDEA,Erebidae,Erebinae,Macrodes columbalis,"Guenée, 1854",BOLD:AAE8326,,1,,,,,,
3357,93,93,NOCTUOIDEA,Erebidae,Erebinae,Mazacyla lilacina,,,,,,,,,,
3358,93,93,NOCTUOIDEA,Erebidae,Erebinae,Metaprosphera modesta,"(Butler, 1879)",n.a.,,,1,,,1,1,
3360,93,93,Noctuoidea,Erebidae,Erebinae,Neophisma despagnesi,,,,,1,,,,1,
3361,93,93,NOCTUOIDEA,Erebidae,Erebinae,Ocalaria cohabita,"Kitching, 1988",n.a.,,,1,,OD_Poole,1,1,1
3363,93,93,NOCTUOIDEA,Erebidae,Erebinae,Perasia helvina,"(Guenée, 1852)",BOLD:AAA8016,,1,,,,,1,
3364,93,93,NOCTUOIDEA,Erebidae,Erebinae,Phaeoblemma apicata,"(Schaus, 1911)",n.a.,,,1,,,1,,
3365,93,93,NOCTUOIDEA,Erebidae,Erebinae,Phaeoblemma dares,"(Stoll, 1782)",BOLD:AAB0476,,1,,,,,,
3366,93,93,NOCTUOIDEA,Erebidae,Erebinae,Pseudbarydia japeta,"(Stoll, 1782)",BOLD:AAB6175,,1,,,,,1,
3367,93,93,NOCTUOIDEA,Erebidae,Erebinae,Pseudbarydia selene,Möschler,BOLD:AAD7394,,1,,,,,1,
3375,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Antiblemma acclinalis,,,,,1,,,,1,
3376,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Antiblemma perornata,,,,,1,,,,1,
3380,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Dyomyx egista,,,,,1,,,,1,
3381,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Epitausa dilina,,,,,1,,,,1,
3382,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Epitausa laetabilis,,,,,1,,,,1,
3389,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis delecta,,,,,1,,,1,,
3394,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis bourgaulti,"(Bar, 1875)",n.a.,,,1,,,1,,
3395,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis guttata,"(Felder and Rogenhofer, 1874)",BOLD:AAD6265,,1,,,,1,1,
3396,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis ornata,"(Bar, 1876)",n.a.,,,1,,,1,,
3397,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis osseata,"(Bar, 1875)",n.a.,,,1,,,1,1,
3398,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis perlata,"(Guenée, 1852)",n.a.,,,1,,,1,1,
3399,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis rectimargo,"(Guenée, 1852)",n.a.,,,1,,,1,,
3402,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis superior,"(Guenée, 1852)",BOLD:AAD5886,,1,,,,,,
3403,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis testaceiceps,"(Felder and Rogenhofer, 1874)",BOLD:AAB5238,,1,,,,,1,
3405,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Azeta imbuta,"Walker, 1869",BOLD:AAF4013,,1,,,,,1,
3406,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Azeta rhodogaster,"Guenée, 1852",BOLD:AAA9948,,1,,,,,,
3409,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Antiblemma fuscireticulata,"Kaye, 1901",n.a.,,,1,,,1,,
3410,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Antiblemma purpuripicta,"Hampson, 1926",n.a.,,,,OD_Hampson,,,,1
3415,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Argidia tomyris,"(Cramer, 1779)",n.a.,,,1,,,1,,
3416,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Chamyna modesta,"Schaus, 1912",BOLD:AAB2492,,1,,,,1,1,
3418,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Clapra atalanta,"(Schaus, 1912)",n.a.,,,1,,,1,,
3419,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Clapra marginata,"(Warren, 1889)",n.a.,,,1,,,1,1,
3420,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Cryptochrostis crocea,"(Walker, [1867] 1868)",unassigned,,1,,,,,,
3421,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Dolichosomastis leucogrammica,"Hampson, 1924",BOLD:AFO3636,,1,,,,1,,
3423,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Epitausa atriplaga,"Walker, 1858",BOLD:AAB9787,,1,,,,,1,
3424,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis electa,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3425,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis hemithea,"(Druce, 1889)",n.a.,,,1,,,1,,
3426,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis junetta,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3427,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Eulepidotis panamensis,"Hampson, 1926",n.a.,,,,OD_Hampson,,,,1
3428,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Obroatis chloropis,"Hampson, 1926",BOLD:AAD7367,,1,,,,,1,
3429,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Obroatis distincta,"(Butler, 1879)",BOLD:AAB4280,,1,,,,1,1,
3430,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Oroscopa belus,"Schaus, 1914",n.a.,,,,OD_Schaus,,,,1
3431,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Oxidercia discophora,"Hampson, 1926",n.a.,,,1,,,1,,
3432,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Oxidercia thaumantis,"Hampson, 1926",BOLD:AAA2814,,1,,,,1,1,
3433,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Oxidercia toxea,"(Stoll, 1782)",n.a.,,,1,,,1,,
3434,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Phyprosopus parthenope,"Schaus, 1913",BOLD:AAB4320,,1,,,,,,
3435,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae,Sanys irrosea,"Guenée, 1852",n.a.,,,1,,,1,1,
3439,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria centriponens,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3440,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria conformens,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3441,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria contenta,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3442,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria coryphata,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3443,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria extirpens,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3444,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria irrespondens,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3445,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria maises,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3446,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria marginata,"Druce, 1891",n.a.,,,1,,,1,,
3447,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria melanopasa,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3448,93,93,NOCTUOIDEA,Erebidae,Eulepidotinae?,Plynteria unifacta,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3451,93,93,NOCTUOIDEA,Noctuidae,Eustrotiinae,Argillophora argillophora,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3452,93,93,NOCTUOIDEA,Noctuidae,Eustrotiinae,Marimatha botyoides,"(Guenée, 1852)",n.a.,,,1,,,1,,
3453,93,93,NOCTUOIDEA,Noctuidae,Eustrotiinae,Ozarba oplora,"Dyar, 1914",n.a.,,,,OD_Dyar,,,,1
3454,93,93,NOCTUOIDEA,Noctuidae,Eustrotiinae,Thioptera intensifica,"(Dyar, 1914)",n.a.,,,,OD_Dyar,,,,1
3459,93,93,NOCTUOIDEA,Euteliidae,Euteliinae,Eutelia ablatrix,"(Guenée, 1852)",n.a.,,,1,,,1,,
3460,93,93,NOCTUOIDEA,Euteliidae,Euteliinae,Eutelia abscondens,"Walker, 1858",BOLD:AAE5738,,1,,,,,,
3462,93,93,NOCTUOIDEA,Euteliidae,Euteliinae,Paectes fovifera,"Hampson, 1912",n.a.,,,1,,,1,1,
3463,93,93,NOCTUOIDEA,Euteliidae,Euteliinae,Paectes nyctichroma,"(Hampson, 1905)",n.a.,,,,OD_Hampson,,,,1
3465,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia ribbei,,,,,1,,,1,,
3468,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras egregia,,,,,1,,,,1,
3469,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras rufescens,,,,,1,,,,1,
3473,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras tranducta,,,,,1,,,1,1,
3474,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Apela dubiosa,"Thiaucourt, 1988",BOLD:AAK1942,,1,,,,,1,
3475,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia cresus,"(Cramer, 1777)",n.a.,,,1,,Forbes,,1,1
3476,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia curvilinea,"Schaus, 1904",BOLD:AAM9578,,1,,,Forbes,1,1,1
3477,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia eneana,"Schaus, 1928",n.a.,,,1,,Forbes,1,,1
3478,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia nodicornis,"Guenee, 1852",n.a.,,,,,Forbes,,,1
3479,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia raatzi,"(Möschler, 1883)",n.a.,,,,,Forbes,,,1
3480,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia repandens,"Schaus, 1905",n.a.,,,,,Forbes,,,1
3481,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia simplex,"(Walker, 1865)",n.a.,,,1,,Forbes,1,,1
3482,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hapigia smerinthina,"Schaus, 1928",n.a.,,,,,Forbes,,,1
3483,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras affinis,"Druce, 1905",BOLD:AAB1139,,1,,,,1,1,
3484,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras bilinea,"Schaus, 1901",n.a.,,,1,,,1,,
3485,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras cadmia,"Guenee, 1852",n.a.,,,,,Forbes,,,1
3486,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras clarcki,"Schaus, 1911",n.a.,,,,,Forbes,,,1
3487,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras coatina,"Schaus, 1920",n.a.,,,,,Forbes,,,1
3488,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras colombia,"Dyar, 1908",n.a.,,,,,Forbes,,,1
3489,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras commentica,"Schaus, 1905",n.a.,,,1,,Forbes,1,1,1
3490,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras conspirata,"Schaus, 1905",BOLD:AEC3308,,1,,,Forbes,,1,1
3491,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras constellata,"Dognin, 1904",n.a.,,,1,,,1,,
3492,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras dentata,"Dognin, 1914",n.a.,,,,,Forbes,,,1
3493,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras deornata,"(Walker, 1865)",n.a.,,,,,Forbes,,,1
3494,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras flava,"Schaus, 1905",n.a.,,,1,,Forbes,,1,1
3495,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras flavescens,"Schaus, 1905",BOLD:ACL2882,,1,,,Forbes,1,1,1
3496,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras indistans,"Guenee, 1852",BOLD:AAA7095,,1,,,Forbes,1,1,1
3497,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras linea,"Guenee, 1852",n.a.,,,,,Forbes,,,1
3498,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras losa,"Druce, 1890",n.a.,,,1,,Forbes,,1,1
3499,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras meona,"(Cramer, 1782)",n.a.,,,,,Forbes,,,1
3500,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras metastigma,"Walker, [1858]",BOLD:AAS6483,,1,,,,1,,
3501,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras micans,"Schaus, 1905",n.a.,,,,,Forbes,,,1
3502,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras monegonda,"Schaus, 1928",n.a.,,,,,Forbes,,,1
3503,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras nigrescens,"Schaus, 1901",BOLD:AAA3300,,1,,,Forbes,,1,1
3504,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras pallidula,"Guenee, 1852",n.a.,,,,,Forbes,,,1
3505,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras plana,"Butler, 1879",BOLD:AAA8225,,1,,,Forbes,1,1,1
3506,93,93,NOCTUOIDEA,Notodontidae,Hemiceratinae,Hemiceras plusiata,"Felder, 1874",n.a.,,,,,Forbes,,,1
