speciesKey,species,genus,family
1989024,Pyrinia sublustraria,Pyrinia,Geometridae
1989875,Eois plana,Eois,Geometridae
1966319,Asestra psalmoidaria,Asestra,Geometridae
1738938,Dicnecidia cataclasta,Dicnecidia,Tortricidae
1989640,Eois simulata,Eois,Geometridae
5118674,Hemiceras chromona,Hemiceras,Notodontidae
1981553,Nephodia manchata,Nephodia,Geometridae
1965681,Glena trapezia,Glena,Geometridae
1838173,Costoma basirosella,Costoma,Depressariidae
1981507,Nephodia approximata,Nephodia,Geometridae
12247215,Pelochrista rosaocellana,Pelochrista,Tortricidae
1983470,Eupithecia subalba,Eupithecia,Geometridae
1981591,Nephodia ellopiata,Nephodia,Geometridae
1987083,Astyochia lachesis,Astyochia,Geometridae
1978202,Eusarca nexilinea,Eusarca,Geometridae
1976434,Herbita medama,Herbita,Geometridae
5118637,Hemiceras coatina,Hemiceras,Notodontidae
1747582,Pelochrista collilonga,Pelochrista,Tortricidae
1990827,Erateina cardinalis,Erateina,Geometridae
1740954,Dichelopa amorpha,Dichelopa,Tortricidae
1742042,Cuproxena virifloscula,Cuproxena,Tortricidae
5116535,Psilopleura dolens,Psilopleura,Erebidae
1979638,Psaliodes fractifascia,Psaliodes,Geometridae
11457717,Hypomecis celosa,Hypomecis,Geometridae
1973645,Oospila semispurcata,Oospila,Geometridae
8821653,Chionodes regens,Chionodes,Gelechiidae
1959532,Physocleora scutigera,Physocleora,Geometridae
1979629,Psaliodes disrupta,Psaliodes,Geometridae
5144636,Bassania acuminata,Bassania,Geometridae
1848510,Filatima obscurosuffusella,Filatima,Gelechiidae
1842028,Aeaea victor,Aeaea,Cosmopterigidae
1962752,Melanolophia conspicua,Melanolophia,Geometridae
5148561,Iridopsis eupepla,Iridopsis,Geometridae
5148545,Iridopsis cinerascens,Iridopsis,Geometridae
1979703,Psaliodes jabata,Psaliodes,Geometridae
1987241,Hydata felderi,Hydata,Geometridae
1956925,Oenoptila recessa,Oenoptila,Geometridae
8877444,Epiblema periculosana,Epiblema,Tortricidae
8840758,Asymphorodes fractura,Asymphorodes,Cosmopterigidae
1848496,Filatima sperryi,Filatima,Gelechiidae
1968221,Certima paraniebla,Certima,Geometridae
1852916,Asaphocrita protypica,Asaphocrita,Blastobasidae
